pathway	SL1	SL2	SL3	SL4	SL5	SL6	SL7	SL8	SL9	SL10	SL11	SL12	SL13	SL14	SL15	SL16	SL17	SL18	SL19	SL20	SL21
PWY-5484	7245.1593	6770.9031	7132.1122	7187.0483	6507.6355	5848.9262	6888.9959	6379.9282	7437.2398	7302.2352	7657.4702	7008.2884	6915.0639	6824.6842	3728.6243	4899.0646	4867.0531	5056.7902	3686.4502	3549.789	4306.3157
PWY-5505	2689.7534	4187.5581	3360.8879	3388.8994	3254.579	3895.0272	3142.1866	4832.7499	5184.2742	5869.7117	4697.285	6568.4881	5837.1229	6742.6338	7480.8432	4130.7314	4646.1619	4137.9375	4982.608	3619.3473	5986.1552
PWY-5509	2794.0177	3440.03	3446.4352	3507.0349	2823.069	3404.4152	3574.3025	845.9423	645.1231	765.4942	610.4132	2883.4592	2540.9451	3431.3452	163.5471	65.0759	110.676	91.0885	39.8633	17.2404	86.4591
PWY-5529	1611.6402	893.99	1207.2103	1421.4483	378.7192	69.9914	1331.4547	12.9318	4.3488	8.6202	0.0	346.9539	68.5639	91.9758	323.4371	143.1152	234.9021	200.8455	71.2192	39.8945	97.0353
PWY-5531	2772.9517	3550.3753	3469.9547	3536.8259	2120.7462	1380.4512	2472.2683	1182.7838	1508.6047	1469.5134	1226.2223	3811.5418	3395.9239	4357.241	664.6825	734.9553	739.4647	715.2392	714.3948	574.619	896.7787
PWY-5647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.1241	0.0	0.0	0.0	13.7299	0.0	1.6546	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5651	1.6742	2.4988	4.1717	0.0	0.0	3.3479	0.0	74.4273	14.9437	4.9947	6.6621	22.3818	5.8142	11.6499	9.164	0.0	2.4988	0.8248	0.0	0.0	3.3232
PWY-5654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.6281	0.0	0.0	0.0	15.8066	0.0	1.9783	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.917	0.0	0.0	0.0	22.8374	0.0	3.671	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5659	11981.714	11244.8364	11165.9631	11192.4816	9950.4247	9320.8828	10581.5932	9771.9396	9497.8624	9887.325	10344.6337	9471.0421	9246.2455	9471.1945	10686.9627	11221.2428	11236.2118	11305.1217	10578.5639	10559.3503	10332.1234
PWY-5667	15979.7061	16389.1773	16224.9423	16285.3323	13024.7911	12024.4292	14018.0095	13654.0162	15218.9718	16249.4184	17006.5952	14945.2951	15036.6302	13685.0427	17855.1137	20255.2018	19950.7871	20273.4112	19093.6393	20219.3336	17797.3914
PWY-5676	3516.7163	4510.9063	4077.8374	4152.7319	3467.4889	3070.4671	3440.5628	918.365	1675.4555	1551.7944	1332.7018	1933.1779	2025.6097	1373.4571	1801.7315	2053.0641	2114.2926	2044.1931	1797.9974	1175.8401	1804.8389
PWY-5686	12409.6201	12524.9955	12392.0275	12467.3319	10499.3419	9914.0705	11289.4486	11355.3642	10724.588	11245.3942	11646.4552	10702.5708	10387.5071	10700.4294	12343.2033	13110.4182	13122.636	13126.4537	12368.8758	12368.4762	12114.589
PWY-5695	12935.3422	13378.1831	13081.188	13076.8566	10590.5012	9774.3826	11043.0676	11290.035	11713.5545	13220.8435	13110.2661	11872.1932	11995.7485	11005.3293	16573.0288	19727.0145	19328.4508	19252.2658	18683.9703	19936.9045	17375.9541
PWY-5705	107.8515	147.2776	155.725	112.2755	887.9245	986.9502	469.7057	361.5527	344.2998	248.076	182.3244	37.4622	30.4512	54.0561	36.1455	5.0581	4.3985	12.5285	8.5345	5.0584	34.0365
PWY-5741	7384.9937	7632.5371	7152.1557	7302.7707	6607.01	6510.0769	7295.9707	2309.7265	3151.1906	2776.0999	2759.4298	3841.4716	3531.798	4513.938	1708.7871	705.6354	748.5301	739.4116	681.6514	545.9116	774.095
PWY-5747	756.9409	468.537	606.9346	643.9742	1108.6838	1124.661	1013.5759	601.1193	542.0969	351.0015	267.8535	278.0559	112.7555	465.1377	532.6783	60.1486	50.7203	41.179	53.2856	29.1972	105.8233
PWY-5837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.829	0.0	0.0	0.0	28.7914	0.0	3.3782	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.9407	0.0	0.0	0.0	95.9836	0.0	11.5526	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5855	10383.6202	10492.0843	10402.592	10458.4156	8923.6475	8491.0662	9537.1223	6499.928	8495.829	8689.4636	9351.2223	9139.8804	8964.6485	9168.7835	8245.7215	9124.2329	8937.9017	9430.5447	8650.4991	9424.5859	7732.4822
PWY-5856	10383.6202	10492.0843	10402.592	10458.4156	8923.6475	8491.0662	9537.1223	6499.928	8495.829	8689.4636	9351.2223	9139.8804	8964.6485	9168.7835	8245.7215	9124.2329	8937.9017	9430.5447	8650.4991	9424.5859	7732.4822
PWY-5857	10383.6202	10492.0843	10402.592	10458.4156	8923.6475	8491.0662	9537.1223	6499.928	8495.829	8689.4636	9351.2223	9139.8804	8964.6485	9168.7835	8245.7215	9124.2329	8937.9017	9430.5447	8650.4991	9424.5859	7732.4822
PWY-5861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.3028	0.0	0.0	0.0	64.2015	0.0	7.7049	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.6606	0.0	0.0	0.0	32.8673	0.0	3.8604	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.4543	0.0	0.0	0.0	84.3102	0.0	10.1123	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.4543	0.0	0.0	0.0	84.3102	0.0	10.1123	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.4543	0.0	0.0	0.0	84.3102	0.0	10.1123	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5913	1886.3319	3049.4937	2415.6955	2442.6126	2553.6927	3044.1738	2320.2707	8294.2372	4487.4487	5013.4075	3734.4829	5588.0984	4787.7614	6833.5954	6360.8593	5188.563	5492.3261	4573.8853	4717.8059	2982.9534	6066.3337
PWY-5918	2878.0819	1992.7988	2388.1891	2610.6449	2922.1159	2853.1686	3239.4574	7919.377	4144.2318	4532.4013	3332.8982	3848.3108	2800.886	4758.496	6763.5095	6093.1697	6396.6095	5491.7254	5567.5299	3666.8874	6720.3829
PWY-5920	10238.1841	10246.1692	10085.3586	10095.6683	8483.6591	7840.153	8952.5486	8054.9706	8855.8997	9248.5733	9680.6235	9151.1705	8876.2184	9172.4878	9630.9667	10264.3894	10211.5897	10434.6628	9783.2719	10088.1785	9241.1756
PWY-5973	19928.283	20093.9823	20160.5322	20528.2712	15450.0622	13541.6194	17640.5035	14635.0852	14592.138	15072.9733	15478.8235	14290.3563	13868.1059	13760.9028	15628.0275	16453.5549	16457.7158	16563.1737	15618.2052	15904.468	15048.4406
PWY-5989	16119.7127	16038.8443	15722.2858	15633.1395	12927.9861	11650.6052	13377.0374	9801.5223	13007.5594	13048.7652	14070.9677	12731.1074	12712.7614	11993.009	13102.339	13673.4606	13491.5317	14048.8932	13077.607	14044.7973	11794.7782
PWY-6107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	353.2505	769.303	704.1906	587.6059	905.2578	950.6327	643.4067	0.0	0.0	0.66	0.165	0.165	0.0	0.0
PWY-6121	11974.6986	12086.2771	11950.69	12022.4472	10185.5123	9599.2365	10920.0422	11110.9386	10728.861	11188.159	11551.9314	10704.2275	10359.1825	10888.1248	11891.8748	12633.208	12639.2502	12654.7107	11895.6594	11923.4073	11637.7363
PWY-6122	12393.9186	12511.549	12374.4968	12449.6415	10488.4048	9889.6454	11272.1345	11133.1608	10686.2616	11223.702	11637.9144	11098.4801	10748.662	11222.1708	12183.8411	13054.4247	13056.4112	13071.1366	12297.5189	12327.9782	12017.0957
PWY-6123	10349.68	10443.08	10332.02	10394.3967	8784.5367	8295.7316	9426.475	9475.4267	8949.4302	9381.6503	9713.715	8927.5991	8663.881	8926.3843	10286.91	10925.31	10935.64	10938.69	10307.61	10307.19	10096.18
PWY-6125	11918.6094	12058.9254	11915.008	11987.3972	10140.6561	9627.8222	10892.0482	10698.7938	10329.1191	10806.059	11218.5168	10245.9062	9979.1799	10205.1175	11804.2539	12552.6362	12548.5148	12585.3425	11857.2802	11930.2627	11542.698
PWY-6126	13177.5093	13222.6097	13053.1252	13130.5223	11143.6974	10535.4125	11975.8453	11371.9374	10864.5653	11346.1617	11797.636	10803.4792	10498.9077	10802.9525	12493.1896	13211.445	13225.5742	13234.1864	12461.1341	12452.0195	12209.2702
PWY-6147	10207.9243	10405.2776	10262.4788	10291.4695	8895.5914	8471.8108	9368.1856	9610.9254	9051.57	9450.9464	9768.1613	8974.6499	8678.0522	8997.817	10432.3785	11285.1942	11288.2307	11206.3544	10524.2893	10422.8507	10409.0262
PWY-6151	3289.904	4256.957	4342.7605	4369.1012	3171.5478	2862.1679	3068.0288	1507.7511	1392.7306	1199.0799	946.4126	2429.3756	2109.0393	2513.0563	226.9931	63.592	95.9383	106.2673	46.8201	27.7957	133.1285
PWY-6163	10968.8415	11103.1329	11029.3968	11120.1648	9175.109	8511.408	9956.8192	9596.053	9028.7526	9431.8906	9762.3918	8994.0521	8691.3297	8981.9531	10374.0629	10941.7809	10957.4083	10955.9369	10314.387	10311.9204	10105.1308
PWY-621	2520.0517	3216.2499	3174.1874	3082.86	1277.5242	1298.4264	1213.4918	2828.6286	5670.242	6498.9776	6865.2104	5276.7509	5921.8186	3270.4181	6839.7208	9243.3607	8852.672	9273.1017	8873.5553	10443.1184	7440.8255
PWY-6210	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.6281	0.0	0.0	0.0	15.8066	0.0	1.9783	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6269	1971.8362	3294.2201	3265.0875	3463.5149	2790.1482	3374.8757	3537.8096	832.0935	632.699	751.0436	598.4463	2860.529	2515.671	3423.1438	11.5598	5.3309	3.5455	2.6394	38.9836	8.874	84.5725
PWY-6277	12393.9186	12511.549	12374.4968	12449.6415	10488.4048	9889.6454	11272.1345	11133.1608	10686.2616	11223.702	11637.9144	11098.4801	10748.662	11222.1708	12183.8411	13054.4247	13056.4112	13071.1366	12297.5189	12327.9782	12017.0957
PWY-6282	16033.4127	15868.9546	15597.7553	15502.3459	12743.9025	11477.9657	13207.286	9798.136	13230.8733	13353.1112	14602.6555	12980.4047	13066.7946	12120.0856	13578.4118	14535.5122	14268.3176	15033.706	13936.8769	15373.9814	12306.4828
PWY-6317	210.3521	244.2836	281.9891	223.8262	1002.7793	1085.6047	668.0785	1587.2664	757.7965	577.3193	466.843	404.9863	133.2726	324.9661	75.8182	10.1064	11.4634	28.9558	18.3519	10.0977	70.3707
PWY-6353	11090.7809	11782.5139	11272.1265	11182.0407	8158.0844	6954.3483	8389.6309	7649.5164	9440.3532	10563.3513	10581.9243	10193.7942	10235.349	8695.5128	12150.6888	13990.2479	13646.3418	13887.1188	13460.5584	14710.3892	12170.9182
PWY-6385	9708.8707	9869.6766	9626.7735	9676.622	8013.7875	7300.1865	8470.6371	9394.8192	8708.4568	9223.4224	9269.1661	8507.6536	8199.7878	8493.6581	10129.337	10733.1743	10727.7262	10657.9581	10141.0287	10166.2622	9955.1834
PWY-6386	9684.4963	9849.2767	9601.1965	9650.4905	7984.7824	7265.0571	8436.1994	9381.5106	8664.6479	9190.4371	9230.2079	8442.1039	8129.7126	8448.9401	10126.2657	10731.3904	10724.662	10653.0834	10140.2302	10168.1501	9955.3779
PWY-6387	10381.0266	10466.4972	10349.9573	10415.0959	8829.4068	8324.6493	9463.6361	9593.1222	9117.9743	9566.9231	9863.8178	9042.3222	8775.9033	9057.4054	10307.9476	10963.4095	10969.9528	10980.475	10345.2082	10354.9334	10133.4305
PWY-6467	15880.69	16247.42	15645.23	15574.89	12476.17	11616.18	13114.76	11267.93	12024.15	13069.12	13758.11	12986.14	12966.68	12205.41	15649.9	16012.97	15763.31	16450.02	15914.28	17481.19	14237.18
PWY-6505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.8006	0.0	0.0	0.0	0.0	0.0	2.8114	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6507	2361.9998	2886.3694	2921.2171	2932.2005	2462.9067	1909.9559	2330.2962	838.9166	638.4612	453.6971	401.4554	359.4214	189.8635	283.524	458.669	480.6745	394.5318	476.0891	139.4492	66.7988	197.7684
PWY-6519	5078.4973	6333.8824	6403.7723	6708.9405	6373.5397	6619.9558	7031.979	3199.3742	2526.7348	1875.4297	1615.3382	1495.4726	708.1772	1905.0508	2630.7505	5292.05	5262.7989	4246.559	3601.6723	2087.5078	4749.6754
PWY-6545	6623.0957	7818.8358	7389.0754	7453.804	4380.8574	4649.2022	5172.4248	4896.3109	7442.7148	8129.2273	8568.3345	7039.526	7406.7613	5205.0131	9116.8551	10541.6162	10340.7903	10572.3691	9998.9138	10656.1801	9192.8987
PWY-6562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	478.2215	772.8728	743.2104	615.4692	1129.9108	1098.6124	915.8776	0.0	0.0	1.0513	0.2636	0.2637	0.0	0.0
PWY-6581	2105.0	3086.67	2743.0599	2820.495	1676.45	1506.9947	2011.835	451.7687	397.7969	419.2536	359.8795	1871.8135	1579.1912	2364.4481	649.0	277.0	278.5498	277.385	285.065	249.66	352.67
