"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"OTU_2",7011.67191330531,0.477849853690193,0.288720451717453,1.65506063338327,0.0979121992320044,0.247685922527791
"OTU_13",63.2602096747873,-1.11516382217264,0.430676855382376,-2.58932842161333,0.00961633317285589,0.0416707770823755
"OTU_12",0.140903079917321,-0.534035996330396,4.0804728567969,-0.130876007529579,0.89587339462736,0.924715908938305
"OTU_7",31.1706030647177,1.42606906242954,0.73934357138682,1.92883135475784,0.0537518019545531,0.174693356352298
"OTU_3",1055.84826148313,-0.029988786615377,0.268944359574892,-0.111505542123207,0.911215471029638,0.924715908938305
"OTU_17",176.268850440307,0.581023982514038,0.358200975490978,1.62206141878213,0.104790197992527,0.247685922527791
"OTU_22",0.58746907613778,-0.530647417654569,4.0324265347125,-0.131595061456564,0.895304591941136,0.924715908938305
"OTU_19",53.7083640431858,-0.724999654681927,0.486706208893526,-1.4896042857767,0.136328314466041,0.295378014676421
"OTU_4",55.4596700574847,0.159007509302661,0.449910373308237,0.353420411566557,0.723773285697021,0.924715908938305
"OTU_26",59.1089746913401,-1.62425615695079,0.47801188273149,-3.39794096261655,0.000678950702078365,0.0035305436508075
"OTU_9",21.4205118145587,-1.19894360609047,0.691197873226673,-1.73458810064551,0.0828137886452725,0.239239833864121
"OTU_14",227.331870562174,1.25288940051924,0.294094567386406,4.26015826015952,2.04282205189693e-05,0.000177044577831067
"OTU_24",0.479956307256023,-0.438703244535173,4.04055586845235,-0.108574973052707,0.913539611988916,0.924715908938305
"OTU_32",0.32305680635485,0.427744683098462,4.0804728567969,0.104827234026557,0.916512899473518,0.924715908938305
"OTU_5",1560.47620237506,0.593930407622083,0.245109078634695,2.42312692345135,0.0153875494444384,0.0571537550793427
"OTU_10",1155.62441378237,-0.307178779880713,0.286163284441144,-1.07343882525185,0.283074272439452,0.566148544878903
"OTU_16",391.017281157372,10.3234144965104,1.05929596762567,9.74554308900994,1.92745466771184e-22,5.01138213605078e-21
"OTU_25",8.83722675459697,6.7258452824184,1.66827078429707,4.03162684722812,5.53920864858223e-05,0.000360048562157845
"OTU_27",48.6352297415529,9.17045050419738,1.31628398551451,6.96692401116833,3.2394552532938e-12,4.21129182928194e-11
"OTU_45",0.841507601114487,-0.329024912188236,3.48192723675909,-0.0944950568508969,0.924715908938305,0.924715908938305
"OTU_47",0.267168428799524,1.38951735531209,4.0804728567969,0.340528513257368,0.733458553940572,0.924715908938305
"OTU_40",0.635027862983257,-1.05486102402943,3.57257341108553,-0.295266437564654,0.76779035309393,0.924715908938305
"OTU_50",0.364307452875058,2.16410981395154,4.04748245977069,0.534680467540345,0.592870830273243,0.924715908938305
"OTU_38",1.05879463414323,2.43842946854475,3.1961817901634,0.762919517296947,0.44551139567462,0.827378306252865
"OTU_41",0.156899500901173,-0.534035996330396,4.0804728567969,-0.130876007529579,0.89587339462736,0.924715908938305
"OTU_43",0.333974459396807,0.427744683098462,4.0804728567969,0.104827234026557,0.916512899473518,0.924715908938305
