"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"OTU_2",1270.03431446955,-1.67665105584885,0.202815767904183,-8.26686738005967,1.37524799612396e-16,3.5756447899223e-15
"OTU_13",123.555267614451,0.433187187852466,0.293727433493566,1.47479308520889,0.140268180832357,0.280536361664714
"OTU_11",0.651156634073762,-1.67502365776112,2.05886765245946,-0.813565483803775,0.415893918047265,0.675827616826805
"OTU_7",1175.90096680788,2.41274691282479,0.37785885941292,6.38531253858513,1.71047763461876e-10,2.22362092500439e-09
"OTU_3",879.340864610113,0.169936262073057,0.221660982882857,0.766649411470238,0.443289989006011,0.677972924362134
"OTU_17",76.1601671956066,0.15908121049023,0.315049951203742,0.504939644911585,0.613601227849705,0.759696758290112
"OTU_22",65.1381019329791,-0.727310695109072,0.484409125393304,-1.50143888086037,0.133242083823526,0.280536361664714
"OTU_19",25.3461631464988,-0.208015875720537,0.395386010879325,-0.526108334632064,0.598812938073867,0.759696758290112
"OTU_4",2291.87785751262,-0.422188327966989,0.275909444322507,-1.53016990412803,0.125974678776261,0.280536361664714
"OTU_26",0.194987010738415,-1.18822279009446,4.0804728567969,-0.291197327318382,0.770900406539704,0.871452633479666
"OTU_15",0.313318448470495,-0.226438258474533,2.90792317218663,-0.0778694088758409,0.937931933679902,0.937931933679902
"OTU_9",1294.89949285324,-1.12325907293922,0.380905440902977,-2.94891842520394,0.00318888135991276,0.0138184858929553
"OTU_14",1039.77840793647,-0.770527486719797,0.275495540958153,-2.79687825087825,0.00515989730685147,0.0191653328540198
"OTU_24",9.05615685165115,-0.591749276596402,0.528902129191764,-1.11882566534697,0.263214520175561,0.456238501637639
"OTU_29",0.178822777734102,-1.18822279009446,4.0804728567969,-0.291197327318382,0.770900406539704,0.871452633479666
"OTU_5",0.137406953876064,0.735330561548029,4.0804728567969,0.180207193468565,0.856989911313494,0.891269507766033
"OTU_18",436.94356621755,0.686118660045241,0.264433940392613,2.59466942491021,0.00946819357872767,0.0307716291308649
"OTU_16",136.903201018454,1.53883256772027,0.382495857072855,4.0231352556249,5.74284936011805e-05,0.000373285208407673
"OTU_25",13.8779401424579,7.14462747926539,1.33418764925209,5.35503943787103,8.55377581666226e-08,7.41327237444062e-07
"OTU_27",15.6029573327791,0.114975896002819,0.503790515994073,0.228221636479104,0.819473941764658,0.887763436911713
"OTU_8",1558.32892838674,-0.15037285306006,0.211328146393021,-0.711560933205752,0.476736705966549,0.688619686396127
"OTU_21",340.487270267636,-1.09011436945307,0.914101893900927,-1.19255235846959,0.233044733557163,0.432797362320446
"OTU_23",76.8560839175769,1.69359297361911,0.47917363366519,3.53440351186449,0.000408696623819444,0.00212522244386111
"OTU_28",34.5332464699606,1.04255180475858,0.460879286981202,2.26209299095947,0.0236916585623579,0.0615983122621305
"OTU_31",5.40491189027721,2.05848328541576,0.902399429865657,2.28112210323783,0.0225412225390436,0.0615983122621305
"OTU_35",1.36521819059587,0.773491359029662,1.38953025395398,0.556656723974632,0.577761989935065,0.759696758290112
